Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
216,Fabrício,br BRA,GK,RB Bragantino,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
217,Fagner,br BRA,DF,Corinthians,34,1989,14,12,913,10.1,0,1,1,0,0,0,4,1,0.1,0.1,2.2,2.3,14,39,49,0.00,0.10,0.10,0.00,0.10,0.01,0.21,0.23,0.01,0.23,Matches
218,Rodrigo Fagundes,br BRA,DF,Criciúma,36,1987,32,32,2880,32.0,3,1,4,3,0,0,9,0,2.1,2.1,1.1,3.2,20,113,9,0.09,0.03,0.12,0.09,0.12,0.07,0.03,0.10,0.07,0.10,Matches
219,Erick Farias,br BRA,FW,Juventude,27,1997,35,26,2112,23.5,5,3,8,5,0,0,1,0,5.0,5.0,2.6,7.6,31,35,121,0.21,0.13,0.34,0.21,0.34,0.21,0.11,0.32,0.21,0.32,Matches
220,Luiz Felipe,br BRA,DF,Atl Goianiense,30,1993,16,10,1090,12.1,1,0,1,1,0,0,5,1,0.9,0.9,0.0,0.9,2,20,1,0.08,0.00,0.08,0.08,0.08,0.08,0.00,0.08,0.08,0.08,Matches
221,Marcos Felipe,br BRA,GK,Bahia,27,1996,34,34,2996,33.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
222,Felipinho,br BRA,MF,Ath Paranaense,22,2001,18,12,923,10.3,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.7,7,16,11,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
223,Danilo Fernandes,br BRA,GK,Bahia,35,1988,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
224,Lucas Fernandes,br BRA,"MF,FW",Cuiabá,26,1997,21,11,1039,11.5,1,1,2,1,0,0,3,0,0.8,0.8,0.7,1.5,16,45,31,0.09,0.09,0.17,0.09,0.17,0.07,0.06,0.13,0.07,0.13,Matches
225,Matheus Fernandes,br BRA,MF,RB Bragantino,25,1998,16,12,846,9.4,1,1,2,1,0,0,5,0,0.6,0.6,0.6,1.2,7,38,14,0.11,0.11,0.21,0.11,0.21,0.07,0.06,0.13,0.07,0.13,Matches
226,Nathan Fernandes,br BRA,"FW,MF",Grêmio,18,2005,19,1,544,6.0,0,0,0,0,0,0,3,0,1.5,1.5,0.1,1.6,18,17,51,0.00,0.00,0.00,0.00,0.00,0.24,0.02,0.26,0.24,0.26,Matches
227,Gatito Fernández,py PAR,GK,Botafogo (RJ),35,1988,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
228,Fernandinho,br BRA,MF,Ath Paranaense,38,1985,25,17,1551,17.2,2,3,5,1,1,1,8,0,1.6,0.8,2.4,3.2,39,168,36,0.12,0.17,0.29,0.06,0.23,0.09,0.14,0.23,0.05,0.19,Matches
229,Fernando,br BRA,DF,Ath Paranaense,24,1999,16,7,724,8.0,0,1,1,0,0,0,4,0,0.0,0.0,0.5,0.5,14,36,18,0.00,0.12,0.12,0.00,0.12,0.00,0.06,0.06,0.00,0.06,Matches
230,Fernando,br BRA,"MF,DF",Internacional,36,1987,24,16,1546,17.2,1,0,1,1,0,0,7,0,0.4,0.4,0.4,0.9,17,69,7,0.06,0.00,0.06,0.06,0.06,0.03,0.03,0.05,0.03,0.05,Matches
231,Luiz Fernando,br BRA,"FW,MF",Atl Goianiense,27,1996,31,30,2591,28.8,8,0,8,8,0,0,10,1,5.7,5.7,1.3,7.0,79,78,230,0.28,0.00,0.28,0.28,0.28,0.20,0.05,0.24,0.20,0.24,Matches
232,Nahuel Ferraresi,ve VEN,DF,São Paulo,25,1998,14,9,902,10.0,1,1,2,1,0,0,2,0,0.4,0.4,0.8,1.1,9,45,14,0.10,0.10,0.20,0.10,0.20,0.04,0.08,0.11,0.04,0.11,Matches
233,Ferreira,br BRA,"FW,MF",São Paulo,26,1997,26,14,1230,13.7,5,1,6,5,0,0,4,0,2.9,2.9,1.8,4.8,76,57,152,0.37,0.07,0.44,0.37,0.44,0.21,0.14,0.35,0.21,0.35,Matches
234,Jean Carlos Alves Ferreira,br BRA,"FW,MF",Atl Goianiense,18,2005,3,0,32,0.4,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,0,9,0.00,0.00,0.00,0.00,0.00,1.55,0.00,1.55,1.55,1.55,Matches
235,Tobias Figueiredo,pt POR,DF,Criciúma,29,1994,25,22,2066,23.0,1,0,1,1,0,0,6,0,0.3,0.3,0.5,0.8,2,49,1,0.04,0.00,0.04,0.04,0.04,0.01,0.02,0.03,0.01,0.03,Matches
236,Ryan Francisco,br BRA,FW,São Paulo,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
237,Alan Franco,ec ECU,MF,Atlético Mineiro,25,1998,22,18,1631,18.1,0,0,0,0,0,0,5,0,1.0,1.0,2.0,3.0,5,50,52,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches
238,Alan Franco,ar ARG,DF,São Paulo,27,1996,27,25,2191,24.3,0,1,1,0,0,0,6,1,1.1,1.1,0.4,1.5,14,98,6,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.06,0.05,0.06,Matches
239,Gonzalo Freitas,uy URU,MF,Atl Goianiense,32,1991,15,10,820,9.1,0,0,0,0,0,0,7,0,0.5,0.5,0.2,0.7,2,27,4,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
240,Lucas Freitas,br BRA,DF,Juventude,23,2001,16,15,1256,14.0,0,0,0,0,0,0,3,1,0.2,0.2,0.1,0.4,8,43,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
241,Marlon Freitas,br BRA,MF,Botafogo (RJ),28,1995,32,28,2425,26.9,0,5,5,0,0,0,6,0,1.7,1.7,4.3,6.0,44,264,43,0.00,0.19,0.19,0.00,0.19,0.06,0.16,0.22,0.06,0.22,Matches
242,Bruno Fuchs,br BRA,DF,Atlético Mineiro,24,1999,26,23,2031,22.6,0,1,1,0,0,0,9,1,0.8,0.8,1.9,2.7,22,136,10,0.00,0.04,0.04,0.00,0.04,0.04,0.08,0.12,0.04,0.12,Matches
243,Gabriel Fuentes,co COL,DF,Fluminense,26,1997,6,2,215,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,8,15,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
244,Gabriel,br BRA,DF,Bahia,22,2001,35,35,3150,35.0,0,0,0,0,0,0,8,0,1.4,1.4,0.2,1.5,20,115,5,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
245,Gabriel,br BRA,MF,Ath Paranaense,31,1992,20,16,1431,15.9,1,2,3,1,0,0,3,0,0.4,0.4,0.3,0.8,17,103,5,0.06,0.13,0.19,0.06,0.19,0.03,0.02,0.05,0.03,0.05,Matches
246,Gabriel,br BRA,MF,Fluminense,30,1993,5,3,237,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,17,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,Matches
247,Gabriel,br BRA,GK,Juventude,31,1992,34,34,3014,33.5,0,0,0,0,0,0,5,1,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
248,Marquinhos Gabriel,br BRA,MF,Criciúma,33,1990,25,11,1003,11.1,0,0,0,0,0,0,4,0,0.5,0.5,1.8,2.4,22,46,55,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.21,0.05,0.21,Matches
249,Tevis Gabriel,br BRA,FW,Cruzeiro,18,2006,5,1,146,1.6,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,4,2,9,0.62,0.00,0.62,0.62,0.62,0.44,0.01,0.46,0.44,0.46,Matches
250,Zé Gabriel,br BRA,MF,Vasco da Gama,25,1999,14,3,457,5.1,0,0,0,0,0,0,3,0,0.8,0.8,0.0,0.9,6,11,5,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
251,Pablo Galdames Millán,cl CHI,MF,Vasco da Gama,27,1996,18,13,1154,12.8,0,2,2,0,0,0,5,0,0.3,0.3,0.7,1.0,8,71,25,0.00,0.16,0.16,0.00,0.16,0.02,0.05,0.08,0.02,0.08,Matches
252,Giuliano Galoppo,ar ARG,MF,São Paulo,24,1999,13,3,391,4.3,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.2,8,26,16,0.00,0.00,0.00,0.00,0.00,0.19,0.09,0.28,0.19,0.28,Matches
253,Léo Gamalho,br BRA,FW,Vitória,38,1986,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
254,Mateo Gamarra,py PAR,DF,Ath Paranaense,23,2000,19,16,1482,16.5,0,0,0,0,0,0,7,0,1.3,1.3,0.2,1.6,4,59,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
255,Ganso,br BRA,MF,Fluminense,34,1989,32,29,2247,25.0,3,7,10,3,0,1,12,1,2.6,1.8,4.0,5.8,16,172,84,0.12,0.28,0.40,0.12,0.40,0.11,0.16,0.26,0.07,0.23,Matches
256,García,br BRA,"MF,FW",Palmeiras,22,2002,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
257,Luan Garcia,br BRA,DF,Palmeiras,30,1993,3,3,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
258,Rodrigo Garro,ar ARG,"MF,FW",Corinthians,26,1998,36,35,2995,33.3,10,10,20,9,1,1,8,0,6.0,5.2,7.4,12.6,64,246,169,0.30,0.30,0.60,0.27,0.57,0.18,0.22,0.40,0.16,0.38,Matches
259,Wesley Gasolina,br BRA,DF,Cruzeiro,23,2000,4,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,3,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06,Matches
260,Pedro Geromel,br BRA,DF,Grêmio,38,1985,12,8,771,8.6,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.4,2,15,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
261,Gerson,br BRA,"MF,FW",Flamengo,26,1997,32,27,2457,27.3,3,6,9,3,0,0,3,0,2.3,2.3,3.7,6.0,71,182,186,0.11,0.22,0.33,0.11,0.33,0.08,0.14,0.22,0.08,0.22,Matches
262,Agustín Giay,ar ARG,DF,Palmeiras,20,2004,10,8,642,7.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,16,37,22,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.12,0.08,0.12,Matches
263,Gilberto,br BRA,DF,Bahia,30,1993,19,16,1367,15.2,1,1,2,1,0,0,2,0,1.4,1.4,1.4,2.8,62,78,125,0.07,0.07,0.13,0.07,0.13,0.09,0.09,0.18,0.09,0.18,Matches
264,Gilberto,br BRA,FW,Juventude,34,1989,24,15,1110,12.3,3,1,4,3,0,0,4,0,3.7,3.7,1.5,5.2,16,14,52,0.24,0.08,0.32,0.24,0.32,0.30,0.12,0.42,0.30,0.42,Matches
265,Luciano Giménez,ar ARG,"FW,MF",Cuiabá,23,2000,6,0,73,0.8,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
266,Giovane,br BRA,"FW,MF",Corinthians,20,2003,11,1,274,3.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,3,4,28,0.33,0.00,0.33,0.33,0.33,0.33,0.04,0.37,0.33,0.37,Matches
267,Leonardo Godoy,ar ARG,DF,Ath Paranaense,28,1995,26,21,1639,18.2,1,2,3,1,0,0,5,0,0.5,0.5,1.0,1.4,16,61,87,0.05,0.11,0.16,0.05,0.16,0.03,0.05,0.08,0.03,0.08,Matches
268,Davi Goes,br BRA,MF,Juventude,18,2005,3,1,66,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
269,Bruno Gomes,br BRA,"DF,MF",Internacional,22,2001,30,24,2157,24.0,1,2,3,1,0,0,3,0,0.8,0.8,1.1,1.9,58,152,108,0.04,0.08,0.13,0.04,0.13,0.03,0.05,0.08,0.03,0.08,Matches
270,Igor Gomes,br BRA,MF,Atlético Mineiro,24,1999,22,17,1321,14.7,1,3,4,0,1,1,8,0,2.1,1.3,1.2,2.5,21,83,61,0.07,0.20,0.27,0.00,0.20,0.14,0.08,0.22,0.09,0.17,Matches
271,Igor Gomes,br BRA,DF,Internacional,22,2001,13,7,688,7.6,1,1,2,1,0,0,2,0,0.3,0.3,0.1,0.3,8,22,15,0.13,0.13,0.26,0.13,0.26,0.03,0.01,0.04,0.03,0.04,Matches
272,William Gomes,br BRA,"FW,MF",São Paulo,17,2006,11,4,495,5.5,3,1,4,3,0,0,2,0,1.3,1.3,0.5,1.7,25,14,63,0.55,0.18,0.73,0.55,0.73,0.23,0.08,0.32,0.23,0.32,Matches
273,Gustavo Gómez,py PAR,DF,Palmeiras,30,1993,27,26,2367,26.3,1,2,3,0,1,1,9,0,3.8,3.0,1.8,4.8,8,82,6,0.04,0.08,0.11,0.00,0.08,0.14,0.07,0.21,0.12,0.18,Matches
274,Diego Gonçalves,br BRA,"FW,MF",Juventude,29,1994,10,0,192,2.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,2,4,17,0.47,0.00,0.47,0.47,0.47,0.13,0.01,0.14,0.13,0.14,Matches
275,Mateus Gonçalves Martins,br BRA,"MF,FW",Vitória,29,1994,4,1,210,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,6,5,14,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.23,0.07,0.23,Matches
276,Matheus Gonçalves,br BRA,"FW,MF",Flamengo,18,2005,14,8,682,7.6,2,0,2,2,0,0,1,0,1.7,1.7,0.9,2.6,32,48,83,0.26,0.00,0.26,0.26,0.26,0.23,0.12,0.34,0.23,0.34,Matches
277,Yony González,co COL,"FW,MF",Atl Goianiense,29,1994,9,1,267,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,5,7,32,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
278,Gregore,br BRA,MF,Botafogo (RJ),29,1994,33,25,2220,24.7,3,2,5,3,0,0,9,0,1.2,1.2,1.7,2.8,29,199,38,0.12,0.08,0.20,0.12,0.20,0.05,0.07,0.12,0.05,0.12,Matches
279,Guga,br BRA,"DF,FW",Fluminense,25,1998,10,4,324,3.6,0,1,1,0,0,0,3,1,0.0,0.0,0.1,0.2,8,12,4,0.00,0.28,0.28,0.00,0.28,0.01,0.04,0.05,0.01,0.05,Matches
280,Guilherme,br BRA,MF,Flamengo,17,2006,1,0,34,0.4,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,1,0,1,2.65,0.00,2.65,2.65,2.65,1.28,0.00,1.28,1.28,1.28,Matches
281,Guilherme,br BRA,DF,RB Bragantino,21,2002,14,7,670,7.4,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,8,18,18,0.00,0.13,0.13,0.00,0.13,0.01,0.03,0.04,0.01,0.04,Matches
282,Luis Guilherme,br BRA,"FW,DF",Palmeiras,17,2006,5,1,183,2.0,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.3,12,8,19,0.00,0.49,0.49,0.00,0.49,0.18,0.47,0.65,0.18,0.65,Matches
283,Zé Guilherme,br BRA,DF,Grêmio,18,2005,6,2,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,9,12,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
284,Gustavinho,br BRA,"MF,FW",RB Bragantino,19,2004,27,11,954,10.6,1,3,4,1,0,0,1,0,0.9,0.9,1.5,2.4,9,45,33,0.09,0.28,0.38,0.09,0.38,0.08,0.14,0.22,0.08,0.22,Matches
285,Gustavo,br BRA,GK,Criciúma,30,1993,34,34,2997,33.3,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
286,Luiz Gustavo,br BRA,"DF,MF",Atl Goianiense,20,2003,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
287,Luiz Gustavo,br BRA,MF,São Paulo,36,1987,28,24,2142,23.8,2,1,3,2,0,0,3,0,1.3,1.3,0.7,2.0,32,132,20,0.08,0.04,0.13,0.08,0.13,0.05,0.03,0.08,0.05,0.08,Matches
288,Raul Gustavo,br BRA,DF,Corinthians,24,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
289,Ryan Gustavo,br BRA,MF,Corinthians,20,2003,11,6,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,4,16,8,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
290,Rafael Haller,uy URU,DF,Atl Goianiense,23,2000,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
291,Lucas Halter,br BRA,DF,Botafogo (RJ),23,2000,17,15,1353,15.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,8,42,1,0.07,0.00,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03,Matches
292,Héctor,es ESP,"FW,DF",Corinthians,28,1995,3,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
293,Thiago Heleno,br BRA,DF,Ath Paranaense,35,1988,26,26,2278,25.3,0,1,1,0,0,0,6,1,0.8,0.8,0.8,1.6,0,58,4,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.06,0.03,0.06,Matches
294,Helinho,br BRA,"FW,MF",RB Bragantino,23,2000,17,14,1102,12.2,7,2,9,7,0,0,4,0,3.4,3.4,2.1,5.5,35,43,74,0.57,0.16,0.74,0.57,0.74,0.27,0.17,0.45,0.27,0.45,Matches
295,Henrique,br BRA,FW,São Paulo,17,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
296,Bruno Henrique,br BRA,"FW,MF",Flamengo,33,1990,29,24,2070,23.0,6,1,7,5,1,1,6,0,6.4,5.7,1.9,7.6,70,62,167,0.26,0.04,0.30,0.22,0.26,0.28,0.08,0.36,0.25,0.33,Matches
297,Bruno Henrique,br BRA,"MF,FW",Internacional,34,1989,37,21,1908,21.2,3,1,4,3,0,0,5,0,3.7,3.7,2.5,6.2,22,134,60,0.14,0.05,0.19,0.14,0.19,0.17,0.12,0.29,0.17,0.29,Matches
298,Gustavo Henrique,br BRA,DF,Corinthians,30,1993,18,17,1478,16.4,1,0,1,1,0,0,8,1,0.8,0.8,0.2,1.0,6,25,2,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches
299,Luiz Henrique,br BRA,"FW,MF",Botafogo (RJ),23,2001,35,33,2533,28.1,7,3,10,6,1,1,3,0,7.1,6.4,3.8,10.1,85,74,261,0.25,0.11,0.36,0.21,0.32,0.25,0.13,0.39,0.22,0.36,Matches
300,Matheus Henrique,br BRA,"MF,FW",Cruzeiro,26,1997,17,13,1219,13.5,2,0,2,2,0,0,4,0,1.0,1.0,0.3,1.3,22,56,50,0.15,0.00,0.15,0.15,0.15,0.07,0.02,0.10,0.07,0.10,Matches
301,Paulo Henrique,br BRA,DF,Vasco da Gama,27,1996,35,30,2516,28.0,1,0,1,1,0,0,6,0,1.9,1.9,1.7,3.7,56,86,113,0.04,0.00,0.04,0.04,0.04,0.07,0.06,0.13,0.07,0.13,Matches
302,Pedro Henrique,br BRA,"FW,MF",Corinthians,33,1990,11,4,354,3.9,1,1,2,1,0,0,2,0,0.9,0.9,0.6,1.5,12,8,32,0.25,0.25,0.51,0.25,0.51,0.23,0.16,0.39,0.23,0.39,Matches
303,Pedro Henrique,br BRA,DF,RB Bragantino,28,1995,28,27,2372,26.4,1,0,1,1,0,0,4,0,0.6,0.6,0.1,0.7,8,83,1,0.04,0.00,0.04,0.04,0.04,0.02,0.00,0.03,0.02,0.03,Matches
304,Hércules,br BRA,MF,Fortaleza,23,2000,32,30,2317,25.7,4,1,5,4,0,0,6,2,1.5,1.5,1.5,3.0,32,96,70,0.16,0.04,0.19,0.16,0.19,0.06,0.06,0.12,0.06,0.12,Matches
305,Marcelo Hermes,br BRA,"DF,MF",Criciúma,28,1995,36,36,3205,35.6,2,5,7,2,0,0,4,0,1.6,1.6,3.0,4.6,51,132,134,0.06,0.14,0.20,0.06,0.20,0.05,0.08,0.13,0.05,0.13,Matches
306,Diego Hernández,uy URU,"FW,MF",Botafogo (RJ),23,2000,10,0,207,2.3,0,2,2,0,0,0,3,0,0.1,0.1,0.5,0.6,3,9,13,0.00,0.87,0.87,0.00,0.87,0.03,0.22,0.24,0.03,0.24,Matches
307,Lucca Holanda,br BRA,"FW,MF",Internacional,20,2003,9,3,299,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,2,13,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
308,Hugo,br BRA,DF,Corinthians,26,1997,25,22,1822,20.2,0,4,4,0,0,0,3,0,0.8,0.8,1.6,2.4,26,72,65,0.00,0.20,0.20,0.00,0.20,0.04,0.08,0.12,0.04,0.12,Matches
309,Hugo,br BRA,DF,Botafogo (RJ),22,2001,9,4,443,4.9,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.2,9,22,15,0.00,0.20,0.20,0.00,0.20,0.06,0.19,0.25,0.06,0.25,Matches
310,José Hugo,br BRA,"MF,FW",Vitória,24,1999,27,0,632,7.0,1,2,3,1,0,0,3,0,1.5,1.5,0.9,2.4,34,17,75,0.14,0.28,0.43,0.14,0.43,0.22,0.12,0.34,0.22,0.34,Matches
311,Victor Hugo,br BRA,"FW,MF",Flamengo,19,2004,10,1,262,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,12,17,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches
312,Victor Hugo,br BRA,"MF,FW",Fluminense,19,2004,5,2,106,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
313,Vitor Hugo,br BRA,DF,Bahia,32,1991,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
314,Hulk,br BRA,"FW,MF",Atlético Mineiro,37,1986,24,22,1892,21.0,10,5,15,6,4,5,5,1,9.5,5.6,1.9,7.5,38,60,143,0.48,0.24,0.71,0.29,0.52,0.45,0.09,0.54,0.26,0.36,Matches
315,José Hurtado,ec ECU,DF,RB Bragantino,22,2001,17,15,1325,14.7,0,2,2,0,0,0,2,0,0.2,0.2,2.2,2.4,39,56,70,0.00,0.14,0.14,0.00,0.14,0.01,0.15,0.16,0.01,0.16,Matches
316,Hyoran,br BRA,"FW,MF",Internacional,30,1993,10,3,335,3.7,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,9,11,26,0.00,0.00,0.00,0.00,0.00,0.26,0.03,0.29,0.26,0.29,Matches
317,Iago,br BRA,"DF,MF",Bahia,26,1997,13,3,408,4.5,0,0,0,0,0,0,0,0,0.8,0.8,1.1,1.9,15,22,23,0.00,0.00,0.00,0.00,0.00,0.18,0.23,0.41,0.18,0.41,Matches
318,Ignácio,br BRA,DF,Fluminense,27,1996,4,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
319,Juan Ignacio Dinenno,ar ARG,"FW,DF",Cruzeiro,29,1994,7,2,239,2.7,3,0,3,2,1,1,0,0,1.2,0.4,0.0,0.4,0,0,6,1.13,0.00,1.13,0.75,0.75,0.44,0.00,0.44,0.15,0.15,Matches
320,Igor,br BRA,DF,São Paulo,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
321,Igor,br BRA,MF,Flamengo,20,2003,3,2,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
322,Gabriel Inocêncio,br BRA,DF,Juventude,29,1994,17,7,883,9.8,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,22,25,32,0.00,0.10,0.10,0.00,0.10,0.01,0.07,0.08,0.01,0.08,Matches
323,Isaac,br BRA,FW,Atlético Mineiro,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.62,0.62,Matches
324,Isaac,br BRA,"FW,MF",Fluminense,19,2004,7,1,170,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,4,16,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
