Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,3,0,0,16,23,0,25,13,16,1,0,1,105,14,6,70.0,Matches
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,2,0,0,31,32,24,3,4,6,0,0,0,46,137,144,48.8,Matches
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,4,0,0,26,4,1,1,13,16,0,0,0,78,21,26,44.7,Matches
92,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,0,0,0,4,1,0,0,0,3,0,0,0,1,12,4,75.0,Matches
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,7,0,0,30,10,6,13,18,56,0,1,0,133,42,22,65.6,Matches
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
95,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,8,0,0,30,22,0,39,18,31,0,1,1,110,15,21,41.7,Matches
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,3,0,0,22,10,3,50,38,24,0,0,0,119,35,32,52.2,Matches
97,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,1,0,0,3,3,0,0,8,12,0,0,0,46,19,22,46.3,Matches
99,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,1.7,1,0,0,3,1,0,0,2,0,0,0,0,8,1,1,50.0,Matches
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,3,0,0,11,4,6,0,1,2,0,0,0,9,15,19,44.1,Matches
101,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,5,0,0,11,12,4,43,4,10,0,0,0,33,12,15,44.4,Matches
102,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,1,0,0,4,2,1,4,1,3,0,0,0,3,1,3,25.0,Matches
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,0,0,0,2,2,2,0,0,1,0,0,0,5,2,6,25.0,Matches
104,Tahith Chong,cw CUW,"MF,FW",Luton Town,23,1999,22.0,4,0,0,21,64,4,35,8,22,0,0,0,104,9,22,29.0,Matches
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,6,0,0,48,38,5,73,52,44,0,1,0,231,21,38,35.6,Matches
106,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,2,0,0,3,2,0,1,0,4,0,0,0,11,1,3,25.0,Matches
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,0,0,0,4,3,0,0,1,1,0,0,0,6,0,0,,Matches
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,4,0,0,14,26,5,23,11,17,0,0,0,59,18,15,54.5,Matches
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,0,0,0,6,3,0,9,10,15,0,0,0,50,13,8,61.9,Matches
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,0,0,0,6,5,0,13,7,14,0,0,1,39,1,4,20.0,Matches
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,3,0,0,12,23,3,4,44,20,0,0,0,136,73,35,67.6,Matches
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,2,0,0,25,14,4,12,26,30,0,0,0,96,43,20,68.3,Matches
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,5,1,0,39,16,2,132,65,41,0,0,0,228,42,29,59.2,Matches
114,Jack Cork,eng ENG,MF,Burnley,34,1989,0.3,0,0,0,4,1,0,1,1,0,0,0,0,2,0,2,0.0,Matches
115,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,1.2,0,0,0,2,2,3,1,2,2,0,0,0,8,0,5,0.0,Matches
116,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,7,1,1,32,26,1,106,43,41,0,1,0,154,40,37,51.9,Matches
117,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
118,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,4.8,1,0,0,2,3,1,11,3,2,0,0,0,18,6,3,66.7,Matches
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,10,0,0,23,35,1,16,22,38,1,1,1,96,22,17,56.4,Matches
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,9,0,0,24,49,0,26,15,29,0,0,0,141,19,24,44.2,Matches
121,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,9,0,0,31,50,4,24,13,16,1,0,0,114,16,47,25.4,Matches
122,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,1,1,0,6,2,0,3,1,4,0,0,0,26,0,5,0.0,Matches
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,1,0,0,6,4,0,3,12,5,0,1,1,50,14,23,37.8,Matches
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,6,1,1,45,14,2,80,37,51,0,1,0,195,32,25,56.1,Matches
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,2,0,0,14,8,3,29,11,17,0,0,0,57,12,11,52.2,Matches
127,Danilo,br BRA,MF,Nott'ham Forest,22,2001,19.9,4,0,0,13,9,2,26,35,18,0,1,0,118,14,10,58.3,Matches
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,0,0,0,7,5,3,10,3,4,0,0,0,25,3,5,37.5,Matches
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
130,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,0.3,0,0,0,2,0,0,6,0,1,0,0,0,2,0,0,,Matches
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,1,0,0,17,10,9,3,1,5,0,0,0,22,13,33,28.3,Matches
132,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,2,0,0,8,19,0,10,10,17,1,0,0,53,29,21,58.0,Matches
133,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,2,0,0,7,2,0,4,3,5,0,1,0,21,3,3,50.0,Matches
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,7,0,0,20,15,4,1,16,20,0,0,0,100,63,32,66.3,Matches
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,2,0,0,11,13,1,136,4,9,0,0,0,54,6,5,54.5,Matches
136,Bobby De Cordova-Reid,jm JAM,FW,Fulham,30,1993,15.8,4,0,0,16,25,4,35,5,14,0,0,0,60,13,24,35.1,Matches
137,Hannes Delcroix,ht HAI,DF,Burnley,24,1999,6.5,2,0,0,6,0,0,5,9,6,0,0,0,29,8,9,47.1,Matches
138,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,0,0,0,1,1,0,0,2,4,0,0,0,4,4,5,44.4,Matches
139,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,24.2,1,0,0,16,15,6,45,9,5,0,0,0,62,2,15,11.8,Matches
140,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,4.3,1,0,0,5,4,0,1,1,3,0,0,0,14,4,6,40.0,Matches
141,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
142,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,0,0,0,23,15,0,13,30,20,0,1,1,108,47,42,52.8,Matches
143,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,3,0,0,54,42,20,26,3,25,1,0,0,127,26,48,35.1,Matches
144,Eric Dier,eng ENG,DF,Tottenham,29,1994,2.2,0,0,0,0,1,2,0,2,1,0,0,0,7,3,5,37.5,Matches
145,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,7,0,0,29,30,3,154,26,19,0,0,0,101,42,24,63.6,Matches
146,Issa Diop,fr FRA,DF,Fulham,26,1997,15.8,4,1,1,17,4,0,0,17,16,0,3,0,65,25,17,59.5,Matches
147,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,6,0,0,17,17,4,10,18,19,0,0,1,150,72,31,69.9,Matches
148,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,1,0,0,3,6,0,7,1,7,0,0,0,20,2,1,66.7,Matches
149,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,12.8,2,0,0,13,11,5,13,7,18,0,0,0,65,38,33,53.5,Matches
150,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,17.7,3,0,0,15,33,5,61,9,22,2,0,0,75,2,3,40.0,Matches
151,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,16.6,4,0,0,26,16,2,6,18,34,0,0,0,108,21,19,52.5,Matches
152,Jamie Donley,nir NIR,FW,Tottenham,18,2005,0.0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,1,50.0,Matches
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,7,0,0,53,8,21,26,15,27,0,1,0,144,24,40,37.5,Matches
154,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,2,0,0,10,1,0,1,20,17,0,0,0,74,5,9,35.7,Matches
155,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,32.5,5,0,0,31,9,13,340,31,40,0,0,0,185,23,12,65.7,Matches
156,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,2,0,0,11,4,0,28,12,13,0,0,0,93,0,4,0.0,Matches
157,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,1,0,0,6,4,1,0,8,3,0,0,0,21,9,6,60.0,Matches
158,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,1,0,0,2,5,0,0,0,0,0,2,0,29,4,0,100.0,Matches
159,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0.2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,100.0,Matches
160,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,7,1,0,23,12,1,7,31,14,0,1,0,180,57,32,64.0,Matches
161,Jáder Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,5,0,0,12,8,4,6,1,5,1,0,0,15,20,12,62.5,Matches
162,George Earthy,eng ENG,FW,West Ham,18,2004,0.4,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,,Matches
163,Ederson,br BRA,GK,Manchester City,29,1993,30.9,5,0,0,2,4,0,0,0,0,0,1,0,53,8,0,100.0,Matches
164,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,4,0,0,31,22,9,10,6,12,0,0,0,38,30,54,35.7,Matches
165,John Egan,ie IRL,DF,Sheffield Utd,30,1992,5.4,2,0,0,6,1,0,0,13,4,0,1,0,21,14,8,63.6,Matches
166,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,2,0,0,8,2,0,0,6,2,0,0,0,26,4,9,30.8,Matches
167,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27.0,1,0,0,9,26,19,58,8,19,0,0,0,96,17,37,31.5,Matches
168,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15.0,2,0,0,7,13,1,62,6,17,1,0,0,78,9,13,40.9,Matches
169,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,50.0,Matches
170,Emerson,br BRA,DF,Tottenham,24,1999,12.9,4,0,0,14,38,0,14,20,24,0,0,0,82,15,21,41.7,Matches
171,Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,5.3,2,0,0,6,10,1,8,0,2,0,0,0,13,1,2,33.3,Matches
172,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,10,0,0,50,25,0,4,20,28,0,0,0,108,31,27,53.4,Matches
173,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,1,0,0,7,3,1,43,4,13,0,0,0,86,1,7,12.5,Matches
174,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,6,0,0,25,16,0,5,27,10,0,0,0,62,26,22,54.2,Matches
175,Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,13.8,4,0,0,22,17,5,65,21,13,0,0,1,90,12,14,46.2,Matches
176,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,2,0,0,17,13,0,0,23,14,0,0,0,70,36,18,66.7,Matches
177,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,22.8,3,0,0,27,48,11,107,11,17,1,1,0,135,12,24,33.3,Matches
178,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100.0,Matches
179,Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,0.5,1,0,0,2,4,0,3,0,1,0,0,0,1,0,1,0.0,Matches
180,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,5.8,2,0,0,6,13,2,3,3,3,0,0,0,22,1,10,9.1,Matches
181,Felipe,br BRA,DF,Nott'ham Forest,34,1989,4.2,4,0,0,10,2,0,0,4,9,0,0,0,20,14,6,70.0,Matches
